Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,code saison,code avion,Livraison,Approche emballage ,Préparation,DQR,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols,Sous-sous-groupe d'aliment,Energie (kcal/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Fibres alimentaires (g/100 g)
11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.24,1.87,7.58,2.93e-07,30.3,0.025,4.74e-07,2.09e-07,6.62e-09,0.0456,0.00161,0.0268,0.137,70.2,106.0,3.38,700.0,5.14e-05,0.104,7.46,0.0212,-,260.0,5.0,7.0,23.0,2.5
25525,aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.19,0.148,0.94,2.7e-08,0.558,0.00393,7.86e-08,4.24e-08,8.82e-10,0.00805,0.000193,0.00416,0.0303,11.0,67.7,2.47,24.4,5.91e-06,0.0336,1.02,-0.108,-,38.5,2.12,3.2,0.73,4.17
11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""",2,0,Ambiant (long),PACK PROXY,Pas de préparation,1.75,0.148,1.17,3.38e-08,0.545,0.00402,6.42e-08,2.66e-08,2.14e-09,0.00632,0.000357,0.00723,0.0244,30.8,116.0,0.422,22.4,3.96e-06,0.0252,0.965,0.184,-,,3.25,2.03,14.7,
11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.55,11.8,6.27e-07,11.2,0.0514,8.62e-07,9.85e-08,6.93e-09,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396.0,7.94e-05,0.0401,11.7,0.00655,-,,0.54,6.25,0.03,0.5
20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.55,11.8,6.27e-07,11.2,0.0514,8.62e-07,9.85e-08,6.93e-09,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396.0,7.94e-05,0.0401,11.7,0.00655,-,224.0,13.7,18.8,2.47,36.0
20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.52,11.6,6.24e-07,11.2,0.0473,8.55e-07,9.77e-08,6.84e-09,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393.0,7.91e-05,0.04,11.5,0.00639,-,211.0,7.22,18.5,2.78,41.8
20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.52,11.6,6.24e-07,11.2,0.0473,8.55e-07,9.77e-08,6.84e-09,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393.0,7.91e-05,0.04,11.5,0.00639,-,227.0,17.2,22.6,1.33,28.0
20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.52,11.6,6.24e-07,11.2,0.0473,8.55e-07,9.77e-08,6.84e-09,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393.0,7.91e-05,0.04,11.5,0.00639,-,194.0,7.41,15.7,1.33,44.6
20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.55,11.8,6.27e-07,11.2,0.0514,8.62e-07,9.85e-08,6.93e-09,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396.0,7.94e-05,0.0401,11.7,0.00655,-,243.0,16.5,18.8,3.54,35.0
20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée",2,0,Ambiant (long),PACK PROXY,Pas de préparation,2.77,1.52,11.6,6.24e-07,11.2,0.0473,8.55e-07,9.77e-08,6.84e-09,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393.0,7.91e-05,0.04,11.5,0.00639,-,239.0,10.1,28.3,2.63,31.0
